"Operator Name";"Operator Group Name";"STB Manufacturer";"STB Model";"STB Serial";"STB Production Date";"Chipset Manufacturer";"Chipset Type";"Chipset Version";"Chipset Id"
"Albanian Satellite Communication";"";"INTEK Digital";"HD-S73CX";"C28H1552L00543";"2015-12-21";"Broadcom";"Broadcom_BCM7358";"BCM7358TPK";"00652514363"
"Albanian Satellite Communication";"";"INTEK Digital";"HD-S73CX";"C28H1552L00544";"2015-12-21";"Broadcom";"Broadcom_BCM7358";"BCM7358TPK";"00652525557"
"Albanian Satellite Communication";"";"INTEK Digital";"HD-S73CX";"C28H1552L00545";"2015-12-21";"Broadcom";"Broadcom_BCM7358";"BCM7358TPK";"00652521683"
"Albanian Satellite Communication";"";"INTEK Digital";"HD-S73CX";"C28H1552L00546";"2015-12-21";"Broadcom";"Broadcom_BCM7358";"BCM7358TPK";"00652535995"
"Albanian Satellite Communication";"";"INTEK Digital";"HD-S73CX";"C28H1552L00547";"2015-12-21";"Broadcom";"Broadcom_BCM7358";"BCM7358TPK";"00652532982"
"Albanian Satellite Communication";"";"INTEK Digital";"HD-S73CX";"C28H1552L00548";"2015-12-21";"Broadcom";"Broadcom_BCM7358";"BCM7358TPK";"00652538430"
"Albanian Satellite Communication";"";"INTEK Digital";"HD-S73CX";"C28H1552L00549";"2015-12-21";"Broadcom";"Broadcom_BCM7358";"BCM7358TPK";"00652529827"
"Albanian Satellite Communication";"";"INTEK Digital";"HD-S73CX";"C28H1552L00550";"2015-12-21";"Broadcom";"Broadcom_BCM7358";"BCM7358TPK";"00652515985"
"Albanian Satellite Communication";"";"INTEK Digital";"HD-S73CX";"C28H1552L00551";"2015-12-21";"Broadcom";"Broadcom_BCM7358";"BCM7358TPK";"00652532539"
"Albanian Satellite Communication";"";"INTEK Digital";"HD-S73CX";"C28H1552L00552";"2015-12-21";"Broadcom";"Broadcom_BCM7358";"BCM7358TPK";"00652535081"
"Albanian Satellite Communication";"";"INTEK Digital";"HD-S73CX";"C28H1552L00553";"2015-12-21";"Broadcom";"Broadcom_BCM7358";"BCM7358TPK";"00652529464"
"Albanian Satellite Communication";"";"INTEK Digital";"HD-S73CX";"C28H1552L00554";"2015-12-21";"Broadcom";"Broadcom_BCM7358";"BCM7358TPK";"00652532611"
"Albanian Satellite Communication";"";"INTEK Digital";"HD-S73CX";"C28H1552L00555";"2015-12-21";"Broadcom";"Broadcom_BCM7358";"BCM7358TPK";"00652532073"
